title,company,location,salary,work_type,posted_date,description,job_url,page_number,index_on_page
Project Coordinator,Angkriz S Company Limited,กรุงเทพมหานคร,"฿35,000 – ฿50,000 per month",งานเต็มเวลา,ลงประกาศเมื่อ 14 วันที่ผ่านมา,"Angkriz S เปิดรับสมัครงาน ตำแหน่ง Project Coordinator (E-learning) Angkriz S คือผู้ให้บริการด้านการเรียนรู้ออนไลน์ชั้นนำของพี่ลูกกอล์ฟ ซึ่งกำลังมองหาคนรุ่นใหม่ที่มีใจรักในการศึกษาและเทคโนโลยี มาช่วยกันสร้างสรรค์บทเรียนออนไลน์ที่มีคุณภาพและน่าสนใจไปพร้อมกับเรา! ทำงาน 5 วัน/ สัปดาห์ เวลา 9:00- 18:00 น. สถานที่ทำงาน: Jasmine City Building, Asoke รายละเอียดงาน (Responsibilities) ประสานงานรอบทิศ: เป็นตัวกลางในการสื่อสารระหว่างวิทยากร , ทีม Production (Graphic/Video), และลูกค้า เพื่อให้โครงการดำเนินไปอย่างราบรื่น บริหารจัดการแผนงาน: วางแผน Timeline ของโครงการ ติดตามสถานะงานให้เสร็จทันตามกำหนด (Deadline) ตรวจสอบคุณภาพ (QC): ตรวจสอบความถูกต้องของเนื้อหา สื่อมัลติมีเดีย และระบบการใช้งานบน LMS ก่อนส่งมอบงาน จัดทำเอกสาร: สรุปขอบเขตงาน (Scope of Work), รายงานความคืบหน้า และจัดทำคู่มือการใช้งานเบื้องต้น แก้ไขปัญหาเฉพาะหน้า: รับฟัง Feedback และประสานงานแก้ไขปัญหาต่าง ๆ ที่เกิดขึ้นระหว่างโครงการ คุณสมบัติที่เรามองหา (Qualifications) วุฒิปริญญาตรี ไม่จำกัดสาขา (หากจบด้านเทคโนโลยีการศึกษา, นิเทศศาสตร์ หรือบริหารธุรกิจจะพิจารณาเป็นพิเศษ) มีทักษะการสื่อสารที่ยอดเยี่ยม ทั้งการพูดและการเขียน (สรุปเรื่องยากให้เป็นเรื่องง่ายได้) มีความละเอียดรอบคอบสูง (High attention to detail) โดยเฉพาะการตรวจคำผิดและลำดับเนื้อหา สามารถใช้งานโปรแกรมพื้นฐานได้ดี (MS Office, Google Workspace) และหากเคยใช้เครื่องมือ Project Management (เช่น Trello และซอร์ฟแวร์อื่นๆ) จะได้รับพิจารณาเป็นพิเศษ มีความยืดหยุ่น พร้อมเรียนรู้เทคโนโลยีใหม่ๆ และรับมือกับความกดดันได้ดี มีประสบการณ์การทำงานในสายงาน EdTech มาแล้ว ขั้นต่ำ 3-5 ปีขึ้นไป หากมีประสบการณ์ในธุรกิจ E-learning, Digital Agency หรือ Production House จะได้รับการพิจารณาเป็นพิเศษ",https://th.jobsdb.com/th/job/91100545?type=standard&ref=search-standalone#sol=75f13ee3643db0e3bcba7641d58b6a5f4899d971,1,1
Business Process (Business Analyst & Process Improvement),PTG Energy Public Company Limited,ห้วยขวาง กรุงเทพมหานคร,,งานเต็มเวลา,ลงประกาศเมื่อ 21 วันที่ผ่านมา,"Role & Responsibilities: Ensure strategic alignment, resource optimization, and the delivery of high-value organizational objectives Lead the identification and management of cross-project dependencies to prevent scope overlap Ensure a seamless end-to-end user experience across the entire portfolio Standardizing documentation templates and process modeling methodologies across the enterprise Ensuring high user adoption and long-term proficiency for end-to-end process transformations Proactively identify project roadblocks and facilitate communication to resolve issues, ensuring transparent and efficient solution delivery Perform root cause analysis to ensure long-term stability and process optimization Qualification: Bachelor’s degree in Business Administration, Information Technology, Computer Science, or a related field. At least 3-5 experience in Business Analysis, Requirements Gathering, or related roles within cross-functional project environments. Strong ability to translate complex business requirements into clear Business Requirement Documents (BRD) and Functional/Technical Specifications. Solid understanding of end-to-end business processes, system integration, and functional architecture design. Hands-on experience in User Acceptance Testing (UAT), including test case creation, execution, and sign-off management. Experience working closely with Project Managers and development teams throughout the full project lifecycle. Strong analytical, problem-solving, and stakeholder management skills. Excellent communication skills in English, both written and verbal.",https://th.jobsdb.com/th/job/90956475?type=standard&ref=search-standalone#sol=a184d0eb890c2a2f00455ca4d7b5239016775125,1,2
"Senior Associate, SOC Analyst L2",True Corporation Public Company Limited,กรุงเทพมหานคร (ไฮบริด),,งานเต็มเวลา,ลงประกาศเมื่อ 52 นาทีที่ผ่านมา,"Job Summary: The SOC Analyst L2 provides 24x7 eyes-on-glass service; formed from a team of security analysts with some years of experience. The monitoring and identification tier are responsible for the real-time monitoring and identification of security incidents. Analysts staffed at Level 2 monitor the MDR Centre main channel event streams within the MDR Centre security information and event management (SIEM) platform and other MDR Centre tools. They identify suspicious activity, open an incident investigation and perform preliminary investigation to validate the incident. If the incident is determined to be more complex and requires more time and/or deeper expertise to analyze, the Tier 2 – Analyst will transfer the open investigation to Tier 3 for further analysis and escalation. SOC Analyst is also responsible for providing a combination of strategic, tactical and operational intelligence to the MDR Centre and its constituency. They gather and analyze tactical cyber threat and vulnerabilities intelligence and provide timely intelligence support to incident responders and guidance to threat hunter. In addition, Cyber Security Analyst Tier 2 is responsible for the validation and analysis of investigations passed up from Tier 1 analysts. Tier 2 incident responder and investigator will complete the documentation of the investigation, determine the validity and priority of the activity and escalate to the SOC Manager. Principal Accountabilities: Performs real-time monitoring of security alerts generated by various MDR tools deployed by True Digital. Investigates potential security incidents under the guidance of playbooks and procedures. Analyses and assesses security alerts. Validates, classifies and opens security incident cases or escalates to Level 2 analysts. Serves as a primary contact point for reporting potential security incidents. Document security incidents as identified by the case management process. Provides feedback on enhancing the operations of the cyber security operations centre. Responds to security alerts generate within the SLA time window. Establishes priority intelligence requirements for all key stakeholders. Demonstrates an understanding of business processes, risk management, and related standards and regulatory requirements. Performs threat modeling to identify, classify, prioritize and rate threats based on thorough analysis of the organization’s top risks and critical assets, and derive appropriate use cases to be implemented into the MDR platform. Investigates and researches known indicators, correlate events, identify malicious activity, and discover new sources to provide early warning for a variety of threats. Analyzes internal and external threat intelligence data sets, including vulnerabilities intelligence, detect and track emerging threats and security trends. Produces timely, accurate, relevant and predictive intelligence by identifying and reporting on malicious actors, campaigns, and other relevant activities. Produce and deliver timely, actionable threat intelligence to foster situational awareness, enables proactive decision-making, and promote enhance active defense measures within True Digital. Monitors open source information feeds and threat actor activity to identify activity levels and indicators for threats, targets of interest and possible attack vectors. Work with the other MDR Centre team to ensure that actionable indicators of compromise are incorporated into appropriate technologies. Qualifications: Bachelor degree in a related field such as information security, computer science or computer engineering. Minimum of 3-5 years of experience in cybersecurity, with a focus on security operations and incident response. Strong understanding of security technologies, including SIEM, IDS/IPS, firewalls, and security analytics tools. Hands-on experience with security analysis tools and techniques, such as malware analysis, network forensics, and threat hunting. Knowledge of industry frameworks and best practices, such as NIST, ISO, and CIS. Excellent analytical and problem-solving skills. Strong communication and collaboration abilities. Ability to work well under pressure and handle multiple tasks simultaneously. Relevant security certifications, such as GCIA, GCIH, or equivalent, are highly desirable. Good command on both English and Thai. Location: True Digital Park",https://th.jobsdb.com/th/job/90803747?type=standard&ref=search-standalone#sol=4fc471dad0afed4b1143902106c196f0caa79a07,1,3
Project Management Office (IT) Outsource,PTT Digital Solutions Company Limited,จตุจักร กรุงเทพมหานคร,,งานเต็มเวลา,ลงประกาศเมื่อ 6 วันที่ผ่านมา,"Project Management Officer (Infrastructure PMO) Outsource Location: Chatuchak Responsibilities Oversee and govern internal operations to ensure alignment with project management best practices and established project management standards. Follow up and monitor the progress status of the work. and coordinate with relevant parties such as Project Manager, Line Manager, Team, Customer to update information and report work progress status. Follow up and monitor on the status of issues related to work in the Project Portfolio throughout during the Business Development and Project Execution Phase, and coordinate with those parties involved in following up on the status of issue resolution. Organize information and analyze basic data on Excel to prepare reports based on various analytical perspectives on Word, Excel, PowerPoint and present to relevant people. Serve as Meeting Host to coordinate, facilitate team conveniences, and prioritize reporting on each activity in weekly or monthly client reporting meetings. Contact and coordinate with relevant parties to schedule a meeting and make appointments. Contact to find meeting venues and attend meetings in related work as assigned. Prepare, summarize and collect meeting minutes (MOM). Serve as Project Coordinator to coordinate internal team tasks within the assigned project. Serve as PM project admin, assistant PM in coordinating and preparing project-related documents as assigned. Required Skills Minimum 3-5 years of working experience. Good interpersonal skills and effective communication. Willingness to ask questions, follow up on tasks, and keep relevant parties informed according to the work plan. Expertise in analytic thinking and data analysis. Proficient in using Microsoft Office including with Excel, PowerPoint and Word and capable of making presentations for reporting purposes. Basic knowledge of Infra Architecture, Network Systems is a plus. Prior experience in PMO and proficiency in English communication with stakeholders will be given special consideration. ""Great Job, Great Working Environment, Great Salary and Benefit is waiting for you"" Send your resume “NOW” or call for more detail at “082-459-1462” บริษัท พีทีที ดิจิตอล โซลูชั่น จำกัด Website: http://www.pttdigital.com",https://th.jobsdb.com/th/job/91256957?type=standard&ref=search-standalone#sol=04b808f679138dea627a80f026a4197966a191e2,1,4
"Senior Associate, Cyber Security Sales",True Corporation Public Company Limited,กรุงเทพมหานคร (ไฮบริด),,งานเต็มเวลา,ลงประกาศเมื่อ 53 นาทีที่ผ่านมา,"Principal Accountabilities: Establish sales objectives through forecasting. Maintain sales volume, product mix and selling price by keeping current with supply and demand, changing trends, economic indicators and competitors Design and adjust to achieve a balanced customer portfolio according to the target orders and profit margin Actively approach and establish relationship with targeted business prospects to create and nurture sales leads Implement sales programs by developing field sales action plans and reviewing sales performance. Allocate resources according to the designed customers portfolio. Design and implement appropriate sales processes for different customer segments Collaborate with cross-functional teams, including business development team, presale and delivery team, to co-develop solutions that align with customer needs and market demands. Act as the voice of the customer and sales representatives, providing valuable feedback and insights to enhance product features, usability, and overall value proposition. Translate this feedback into actionable recommendations for the product development team Conduct thorough market research and competitor analysis to stay informed about industry trends, emerging technologies, and customer preferences. Utilize this market intelligence to guide product development strategies and maintain a competitive edge in the market Maintain sales representatives through recruiting, selecting, orienting and training. Evaluate their performance and provide appropriate training accordingly Assist clients during post-sales operation to provide seamless onboarding transition from sales to operation. Design and implement appropriate post-sales processes for different customer segments Qualifications: Bachelor's or Master’s degree in an analytical field, Business Administration, Economic, Math or related field. 6+ years of experience in B2B sales in technology or cybersecurity services Familiarity with analytical productivity, and reporting tools such as Salesforce Understanding and experience with the ability to practically apply to their product line. Must link strategies to financial results. Proven track record of consistently meeting/surpassing targets and KPIs, with the capability of consistently handling large ticket deals Presentation and analytical skills Management and leadership skills Dedication to providing great customer service Good command on both English and Thai Work Location: True Digital Park",https://th.jobsdb.com/th/job/91350647?type=standard&ref=search-standalone#sol=803399def7432354d997249dab2dea4bcf560b46,1,5
Analytic & System Support Officer,THAI UNION GROUP PCL.,สมุทรสาคร,"฿31,000 – ฿38,000 per month",งานเต็มเวลา,ลงประกาศเมื่อ 6 ชั่วโมงที่ผ่านมา,"วัตถุประสงค์: เพื่อพัฒนาและเพิ่มประสิทธิภาพงานด้าน Application และ Dashboard (Power BI) รวมถึงสนับสนุนการวิเคราะห์ข้อมูลและการทำงานร่วมกันภายในองค์กร Key Responsibilities: พัฒนาและดูแล Application (Power Apps) และ O365 Tools จัดทำและปรับปรุง Dashboard (Power BI) สำหรับการวิเคราะห์ข้อมูล สนับสนุนการเชื่อมโยงข้อมูลระหว่างหน่วยงาน (Manufacturing & Commercial) ปรับปรุงกระบวนการทำงานและนำเทคโนโลยีใหม่มาใช้ บริหารจัดการทีม Analytic & System Support คุณสมบัติ ปริญญาตรี สาขาที่เกี่ยวข้อง มีประสบการณ์ด้าน Power Apps, O365 และ Power BI / Data Analytics มีทักษะการวิเคราะห์ข้อมูล และการบริหารจัดการงาน ประสบการณ์การทำงาน 0-3 ปี",https://th.jobsdb.com/th/job/91346876?type=standard&ref=search-standalone#sol=0a7f23ca5059bfa65c58ea1c985f7fa7598c8421,1,6
Head of IT/ IT Project Manager,Next Capital Public Company Limited,บางรัก กรุงเทพมหานคร,,งานเต็มเวลา,ลงประกาศเมื่อ 26 วันที่ผ่านมา,"Tasks & responsibilities พัฒนา และบริหารกลยุทธ์ของฝ่ายเทคโนโลยีสารสนเทศให้สอดคล้องกับกลยุทธ์หลักของธุรกิจ บริหารงานฝ่ายเทคโนโลยีสารสนเทศ และการจัดการกลยุทธ์ จัดการ และพัฒนาทีมเทคโนโลยีสารสนเทศ,กำหนดวัตถุประสงค์ และจัดลำดับความสำคัญของงานในการประเมินผลและสนับสนุนการปรับปรุงประสิทธิภาพอย่างต่อเนื่อง จัดการด้านการเงินของฝ่ายไอทีรวมถึงการจัดซื้อ, จัดทำงบประมาณ และการทบทวนงบประมาณตลอดจนการเจรจาต่อรองกับผู้จัดจำหน่าย พัฒนา และใช้นโยบายด้านไอทีทั้งหมด และขั้นตอนการปฏิบัติงานมาตรฐานให้เป็นปัจจุบัน รวมถึง architecture, security, disaster recovery, standards, purchasing, and service provision ตรวจสอบโครงการ และให้บริการในการแก้ปัญหา และการส่งมอบผลงานไปยังแผนกต่างๆ ให้สอดคล้องกับมาตรการทางธุรกิจ (ประสิทธิผล) และมาตรการด้าน IT SLA (ประสิทธิภาพ) Qualifications & experience IT Management and IT Development Infrastructure and Securities IT Budgeting and Planing AI Workflow",https://th.jobsdb.com/th/job/90869976?type=standard&ref=search-standalone#sol=f50e897b3637f9e0ad32b781ca28cb671e2cffdb,1,7
Business Intelligence – (CEO OFFICE),DIGITAL LOGISTICS COMPANY LIMITED,กรุงเทพมหานคร,"฿67,000 – ฿100,000 per month",งานเต็มเวลา,ลงประกาศเมื่อ 7 ชั่วโมงที่ผ่านมา,"🎯 วัตถุประสงค์ของตำแหน่ง (Role Purpose) รับผิดชอบในการรวบรวม วิเคราะห์ และสรุปข้อมูลจากทุกหน่วยงานในองค์กร เพื่อประเมินผลการดำเนินงาน (KPI) รายเดือน พร้อมทั้งให้ insight และข้อเสนอแนะเชิงกลยุทธ์ เพื่อสนับสนุนการตัดสินใจของ CEO และผู้บริหาร 🧩 หน้าที่ความรับผิดชอบ (Key Responsibilities) 1. KPI & Performance Tracking ออกแบบและพัฒนา KPI framework ของแต่ละทีมให้สอดคล้องกับเป้าหมายองค์กร ติดตามผล KPI ของทุกทีม (รายสัปดาห์ / รายเดือน) ตรวจสอบความถูกต้องของข้อมูล และ standardize metric ให้ทั้งองค์กรใช้ร่วมกัน 2. Data Analysis & Insight วิเคราะห์ performance ของแต่ละทีม เช่น Growth, Efficiency, Cost, Productivity หา root cause เมื่อ KPI ต่ำกว่า target สรุป insight ที่ actionable (ไม่ใช่แค่ report ตัวเลข) 3. CEO Reporting จัดทำรายงานสรุปภาพรวมทั้งองค์กร (Monthly / Quarterly) ทำ dashboard หรือ executive summary ที่อ่านง่ายและตัดสินใจได้ทันที Present ผลให้ CEO และผู้บริหาร 4. Cross-functional Coordination ประสานงานกับทุกทีม (Operation, Finance, Sales, Tech ฯลฯ) เพื่อดึงข้อมูล Challenge และ validate ตัวเลขจากแต่ละทีม สร้าง culture ที่ใช้ data ในการวัดผล 5. Process Improvement ปรับปรุงระบบการเก็บข้อมูล และ reporting workflow สร้าง automation เช่น Excel / BI tools / Dashboard ลด manual work และเพิ่มความเร็วในการ report 📊 คุณสมบัติ (Qualifications) Must-have เคยใช้ BI tools เช่น Power BI / Tableau / Looker หรือ software ที่เกี่ยวข้องอื่นๆ ประสบการณ์ 3–8 ปี ในสายงาน ที่เกี่ยวข้อง มีความเข้าใจ KPI และ business performance จริง (ไม่ใช่แค่ data) Excel ขั้นสูง (Pivot, Modeling) สามารถวิเคราะห์ข้อมูลและสรุป insight ได้ Strong Plus มีประสบการณ์ทำ dashboard สำหรับผู้บริหาร เคยทำงานใกล้ชิดผู้บริหารระดับสูง มี mindset แบบ “owner” และกล้าท้าทาย assumption 💰 เงินเดือน 50k-100k ตามประสบการณ์",https://th.jobsdb.com/th/job/91344495?type=standard&ref=search-standalone#sol=c88142ea4abbc7ae0204e0f94d4aa72403362112,1,8
IT Infrastructure Manager (Network & Systems),ผู้ประกอบการไม่เปิดเผยชื่อบริษัท,กรุงเทพมหานคร,,งานเต็มเวลา,ลงประกาศเมื่อ 1 วันที่ผ่านมา,"Key Responsibilities 1. Infrastructure Design & Implementation Design and implement company-wide network architecture (LAN / WAN / Wi-Fi) Plan, deploy, and configure network equipment (routers, switches, firewalls, access points) Ensure infrastructure scalability to support business growth 2. Network Management Maintain high availability, reliability, and performance of internal networks Monitor network performance (bandwidth, latency, uptime) Troubleshoot and resolve network issues and outages in a timely manner 3. Systems & Server Management Manage servers across on-premise and/or cloud environments Administer user access, identity management, and permissions Implement and maintain backup, recovery, and disaster recovery processes 4. Security & Compliance Enforce network and system security policies (firewalls, VPNs, endpoint protection) Ensure compliance with internal policies and relevant local regulations Perform regular security audits and vulnerability assessments 5. IT Operations Oversee daily IT support (hardware, software, connectivity) Manage IT assets, inventory, and lifecycle Coordinate with internal teams and external service providers 6. Project & Vendor Management Lead infrastructure-related projects (e.g., office setup, relocation, system upgrades) Evaluate and manage vendors (ISPs, hardware suppliers, cloud providers) Manage and control infrastructure-related IT budget Qualifications Bachelor’s degree in IT, Computer Science, or related field 5+ years of experience in IT infrastructure, network, or systems management Strong knowledge of networking (LAN/WAN, firewalls, VPN, Wi-Fi) Experience with cloud platforms (e.g., AWS, Azure, or GCP) is a plus Familiar with security best practices and IT compliance standards Strong problem-solving skills and hands-on technical capability Good communication and vendor management skills",https://th.jobsdb.com/th/job/91334694?type=standard&ref=search-standalone#sol=481ffda7b84bc8961c1c453a4ba9ced78a0d42b5,1,9
Cloud Engineer,"IP PAYMENT SOLUTION CO., LTD.",จตุจักร กรุงเทพมหานคร,,งานเต็มเวลา,ลงประกาศเมื่อ 10 ชั่วโมงที่ผ่านมา,"Responsibilities Design, build, and operate secure cloud infrastructure for financial platforms Manage system environments for payment systems, wallets, invoicing etc. including SIT, UAT and Production. Implement high-availability & disaster recovery architecture Build and maintain CI/CD pipelines for multiple services Provision and manage cloud resources using Infrastructure as Code Manage Docker & Kubernetes environments for microservices Set up monitoring, logging, and alerting for financial systems (SLIs/SLOs) Implement security best practices: IAM, secrets management, encryption, network isolation Coordinate with Cloud service providers for required support and services. Experience with network isolation (private subnets, VPNs, bastion hosts) Work with engineering teams to ensure secure deployment of payment APIs Support audits, compliance checks, and security reviews Optimize cost, performance, and reliability of cloud resources Qualifications 5+ years experience as Senior Cloud Engineer / DevOps / SRE Hands-on experience with AWS / GCP / AliCloud / Tencent Cloud Strong knowledge of networking, VPCs, firewalls, load balancers Experience running containerized services (Docker) Experience with CI/CD pipelines (GitHub Actions, GitLab CI, Bitbucket Pipelines) Experience operating production systems with uptime requirements Familiarity with secure key management & secrets Experience with payment systems, wallets, or financial APIs is a PLUS Knowledge of PCI-DSS, ISO 27001, SOC2, OWASP Top 10 is a PLUS Strong English communication skills",https://th.jobsdb.com/th/job/91341414?type=standard&ref=search-standalone#sol=876f28da79755803a865844a39a3047c22139a71,1,10
