title,company,location,salary,work_type,posted_date,description,job_url,page_number,index_on_page
พนักงานวิเคราะห์และวางแผน (Analyst (Digital Business Development)) 127,PTT Oil and Retail Business Public Company Limited,จตุจักร กรุงเทพมหานคร,,งานเต็มเวลา,,"วุฒิการศึกษา: ปริญญาตรีขึ้นไป : เทคโนโลยีสารสนเทศเพื่อธุรกิจ /เทคโนโลยีสารสนเทศ /บริหารธุรกิจ/ วิศวกรรมศาสตร์ หน้าที่ความรับผิดชอบหลัก: บริหารโครงการดิจิทัลตั้งแต่เริ่มต้นจนจบวงจร (End-to-End) ทั้งด้านงบประมาณ เวลา และผลลัพธ์ ศึกษาและวิเคราะห์กระบวนการทำงานของธุรกิจ OR ในหลากหลายกลุ่ม และออกแบบกระบวนการใหม่ที่ใช้เทคโนโลยีดิจิทัลมาช่วยเพิ่มประสิทธิภาพ (Process Reengineering) ประสานงานกับทีมภายใน (Business Unit, IT, Data, Marketing) และพันธมิตรภายนอก (Tech Partners, Startups) วิเคราะห์และสังเคราะห์ข้อมูลจากหลากหลายแหล่ง (Customer, Sales, Operation, Loyalty Program) เพื่อสร้างข้อมูลเชิงลึก (Insights) ประสานงานกับหน่วยงานธุรกิจ (Business Units) เพื่อหาโอกาสในการใช้เทคโนโลยีดิจิทัลสร้างคุณค่าใหม่ (New Value Creation) คุณสมบัติอื่นๆ ที่เกี่ยวข้อง: มีความเข้าใจในธุรกิจพลังงานและค้าปลีก (Energy, Retail, Lifestyle Ecosystem) มีความรู้ด้านเทคโนโลยีดิจิทัล เช่น Cloud, Data, AI, IoT, Platform Economy เป็นต้น มีความเข้าใจในระบบดิจิทัลองค์กร เช่น ERP, CRM, Loyalty Platform เป็นต้น มีทักษะในการบริหารโครงการ (Project Management) รวมถึงมีทักษะในการนำเสนอและการแปลผลข้อมูลเชิงกลยุทธ์ มีทักษะการสื่อสารและการทำงานร่วมกับหน่วยงานหลากหลาย สามารถปฏิบัติงาน/เดินทางต่างจังหวัดได้ สามารถปฏิบัติงาน/เดินทางต่างประเทศได้ มีใบขับขี่และสามารถขับรถได้ ประสบการณ์: ต้องมีประสบการณ์อย่างน้อย 5-7 ปี ด้าน Business Analysis, Process Improvement, Change Management, หรือ Digital Solution หากมีประสบการณ์ในธุรกิจพลังงานค้าปลีกหรือ Lifestyle จะพิจารณาเป็นพิเศษ สถานที่ปฏิบัติงาน : สำนักงานใหญ่",https://th.jobsdb.com/th/job/90581613?type=standard&ref=search-standalone#sol=2cffd4382436e7345376d5ebe172965cf67cc873,1,1
Product Data and Reporting Officer,SCG CERAMICS PUBLIC COMPANY LIMITED,ดอนเมือง กรุงเทพมหานคร,,งานเต็มเวลา,,"1. Data Analytics & Engineering (Strategic) Data Pipeline Management: Build and maintain data connections from diverse sources including SAP, Excel, and SQL Databases. BI Development: Design and develop Interactive Power BI Dashboards to track and analyze critical business KPIs. 2. Master Data & Operations Management Sales Support: Manage Rebate structures, promotions, and customer entitlements; ensuring commercial terms are validated before system entry. Month-end Closing: Prepare monthly sales summaries and Marketing Expense reports to support Accounting and Finance in closing cycles. 3. Commercial Reporting & Communication Ad-hoc Analysis: Deliver rapid-response reports on regional sales performance and Competitor Price Benchmarking. Cross-functional Hub: Act as the primary liaison between IT (data extraction), Factory (inventory/production status), and Sales (data integrity). System Troubleshooting: Perform root-cause analysis for data discrepancies in SAP or Dashboard visualization errors.",https://th.jobsdb.com/th/job/90272928?type=standard&ref=search-standalone#sol=9979b00f2057f655ffea6bc76fdbd463ac280afe,1,2
พนักงานวิเคราะห์และวางแผน (Analyst (Digital Transformation)) 128,PTT Oil and Retail Business Public Company Limited,จตุจักร กรุงเทพมหานคร,,งานเต็มเวลา,,"วุฒิการศึกษา: ปริญญาตรีขึ้นไป : เทคโนโลยีสารสนเทศเพื่อธุรกิจ /เทคโนโลยีสารสนเทศ /บริหารธุรกิจ/ วิศวกรรมศาสตร์ หน้าที่ความรับผิดชอบหลัก: วางแผนและบริหารโครงการ Digital Transformation ให้สอดคล้องกับกลยุทธ์ของ OR และ OR Digital Blueprint ศึกษาและวิเคราะห์กระบวนการทำงานของธุรกิจ OR ในหลากหลายกลุ่ม และออกแบบกระบวนการใหม่ที่ใช้เทคโนโลยีดิจิทัลมาช่วยเพิ่มประสิทธิภาพ (Process Reengineering) ประสานงานกับทีมภายใน (Business Unit, IT, Data, Marketing) และพันธมิตรภายนอก (Tech Partners, Startups) วิเคราะห์และสังเคราะห์ข้อมูลจากหลากหลายแหล่ง (Customer, Sales, Operation, Loyalty Program) เพื่อสร้างข้อมูลเชิงลึก (Insights) คุณสมบัติอื่นๆ ที่เกี่ยวข้อง: มีความเข้าใจในธุรกิจพลังงานและค้าปลีก (Energy, Retail, Lifestyle Ecosystem) มีความรู้ด้านเทคโนโลยีดิจิทัล เช่น Cloud, Data, AI, IoT, Platform Economy เป็นต้น มีความเข้าใจในระบบดิจิทัลองค์กรเช่น ERP, CRM, Loyalty Platform เป็นต้น มีทักษะการนำเสนอและการแปลผลข้อมูลเชิงกลยุทธ์ มีทักษะในการสื่อสารและการทำงานร่วมกับหน่วยงานหลากหลาย รวมถึงมีทักษะในการประสานงานข้ามหน่วยงาน สามารถปฏิบัติงาน/เดินทางต่างจังหวัดได้ สามารถปฏิบัติงาน/เดินทางต่างประเทศได้ มีใบขับขี่และสามารถขับรถได้ ประสบการณ์: ต้องมีประสบการณ์อย่างน้อย 3-5 ปี ด้าน Business Analysis, Process Improvement, Change Management หรือ Digital Solution สถานที่ปฏิบัติงาน : สำนักงานใหญ่",https://th.jobsdb.com/th/job/90581811?type=standard&ref=search-standalone#sol=abf3c4eccecf8e0fc874e7138a80051acf99f552,1,3
Business Process (Business Analyst & Process Improvement),PTG Energy Public Company Limited,ห้วยขวาง กรุงเทพมหานคร,,งานเต็มเวลา,,"Role & Responsibilities: Ensure strategic alignment, resource optimization, and the delivery of high-value organizational objectives Lead the identification and management of cross-project dependencies to prevent scope overlap Ensure a seamless end-to-end user experience across the entire portfolio Standardizing documentation templates and process modeling methodologies across the enterprise Ensuring high user adoption and long-term proficiency for end-to-end process transformations Proactively identify project roadblocks and facilitate communication to resolve issues, ensuring transparent and efficient solution delivery Perform root cause analysis to ensure long-term stability and process optimization Qualification: Bachelor’s degree in Business Administration, Information Technology, Computer Science, or a related field. At least 3-5 experience in Business Analysis, Requirements Gathering, or related roles within cross-functional project environments. Strong ability to translate complex business requirements into clear Business Requirement Documents (BRD) and Functional/Technical Specifications. Solid understanding of end-to-end business processes, system integration, and functional architecture design. Hands-on experience in User Acceptance Testing (UAT), including test case creation, execution, and sign-off management. Experience working closely with Project Managers and development teams throughout the full project lifecycle. Strong analytical, problem-solving, and stakeholder management skills. Excellent communication skills in English, both written and verbal.",https://th.jobsdb.com/th/job/90310679?type=standard&ref=search-standalone#sol=99b227f421496fd41ca7191b89a08f01d12fec34,1,4
พนักงานวิเคราะห์และวางแผน (Analyst (Data Quality Specialist)) 133,PTT Oil and Retail Business Public Company Limited,จตุจักร กรุงเทพมหานคร,,งานเต็มเวลา,,วุฒิการศึกษา: ปริญญาตรีขึ้นไป : วิทยาการคอมพิวเตอร์ /เทคโนโลยีสารสนเทศเพื่อธุรกิจ /วิศวกรรมคอมพิวเตอร์ / ระบบสารสนเทศ ปริญญาโท : วิทยาการข้อมูล /เทคโนโลยีสารสนเทศ /สถิติ / วิศวกรรมข้อมูล หน้าที่ความรับผิดชอบหลัก: กำหนดนโยบาย กำกับดูแลคุณภาพข้อมูลของ OR วางกรอบแนวทางและกระบวนการตรวจสอบคุณภาพข้อมูลให้เป็นไปตามมาตรฐาน พัฒนาและดูแลระบบตรวจสอบคุณภาพข้อมูล ให้รองรับกระบวนการของ OR จัดทำรายงาน กำหนดเงื่อนไขการตรวจสอบ ตลอดจนรายงานผล และประสานงานผู้เกี่ยวข้อง เพื่อพัฒนาคุณภาพข้อมูลของ OR ให้ถูกต้อง ครบถ้วน และเป็นปัจจุบัน กำกับดูแลการบริหารจัดการ และดูแลข้อมูลของ OR ให้เป็นไปตามสถาปัตยกรรมข้อมูล สามารถเชื่อมโยง และบูรณาการข้อมูลให้ใช้ภายในองค์กรได้อย่างมีประสิทธิภาพ กำกับดูแล วางกรอบแนวทางการบริหารจัดการคำอธิบายข้อมูล (Metadata) ให้เป็นไปตามมาตรฐาน รวมถึงพัฒนา ดูแลระบบบัญชีข้อมูลขององค์กร (Data Catalog) คุณสมบัติอื่นๆ ที่เกี่ยวข้อง: มีความเข้าใจความรู้ด้าน Data Governance และ Data Management Frameworks มีความเข้าใจใน Data Architecture และ Integration มีทักษะการใช้เครื่องมือ Data Quality และ Data Profiling มีความรู้ด้าน Database และ Query Language มีพื้นฐานด้าน Data Privacy และ Compliance สามารถปฏิบัติงาน/เดินทางต่างจังหวัดได้ สามารถปฏิบัติงาน/เดินทางต่างประเทศได้ ทำงานล่วงเวลาได้ มีใบขับขี่และสามารถขับรถได้ ประสบการณ์: ต้องมีประสบการณ์อย่างน้อย 1-2 ปี การบริหารจัดการคุณภาพข้อมูล (Data Quality Management) การทำงานด้าน Data Governance / Data Management การทำงานกับระบบฐานข้อมูลและการวิเคราะห์ข้อมูล สถานที่ปฏิบัติงาน : สำนักงานใหญ่,https://th.jobsdb.com/th/job/90582233?type=standard&ref=search-standalone#sol=bd0aea2aee2c423e201a55f3ffe332ac83003c0c,1,5
Business Analyst,"Boonrawd Brewery Co., Ltd.",จตุจักร กรุงเทพมหานคร,"฿40,000 – ฿50,000 per month",งานเต็มเวลา,,"– Gather requirements from business partner and outline the requirements for business analysis and deliver technical specifications which meets business's satisfaction. – Understand business case/user story to drive project/solution proposal e.g. Cost/Benefit Evaluation and Software/Solution Selection for Business Needs. – Responsible for developing either of functional Design or Business Process Design to drive technical change with quality. – Communicating issues and solutions with team members on any deviations, improvements, and alterations of business requirements. – Monitoring the project lifecycle, enforcing and redefining requirements and targets as necessary.",https://th.jobsdb.com/th/job/90391663?type=standard&ref=search-standalone#sol=209a43a8e21c58b3bf7a3da22338ab685f25d16a,1,6
Senior Operation Officer (Solution Operation - Delivery Platform),Thai Beverage Public Company Limited,ปทุมวัน กรุงเทพมหานคร,,งานเต็มเวลา,,"Job Description • Make comprehensive project plan, budgets and resources • Have a good relationship with internal / external to ensure all projects run smoothly. • Actively explore new opportunities to build and maintain any existing / new projects. • Able to negotiate and understand contracts, finance, accounting to handle all related of operation jobs. • Seek market / other company analysis to identify emerging trends, opportunities, and competitor strategies. • Work closely with marketing, sales, and product teams to develop all operation jobs (front + back end) and ensure seamless execution. • Collaborate with internal stakeholders. • Regularly evaluate the performance of partnership programs and campaigns. • Use data-driven insights to refine strategies and maximize outcomes. Qualification • Bachelor’s degree in any related field. • 1-2 years in office management or similar roles. • Proficiency in MS Office (Excel, Word). • Ability to quickly learn and adapt to new tools and technologies. • Strong communication and interpersonal skills. • Excellent time management and organizational skills.",https://th.jobsdb.com/th/job/90418783?type=standard&ref=search-standalone#sol=67f5a15a624cf14cac6c30ded16ccde3af86fcae,1,7
Full Stack Developer,"AZTEK CO., LTD.",เมืองนนทบุรี นนทบุรี (ระยะไกล),,งานเต็มเวลา,,"Responsibilities - สามารถพัฒนา Web Application ด้วย Node.js (TypeScript) ได้ - สามารถออกแบบและวางแผนการพัฒนาระบบให้ตรงตาม Requirement ฤได้ - สามารถออกแบบและพัฒนาระบบที่มีความยืดหยุ่น, นำกลับมาใช้ใหม่ได้ และคนในทีมสามารถเข้าใจได้ง่าย - สามารถสื่อสารและทำงานร่วมกับคนอื่น ๆ ทั้งภายในและภายนอกทีมได้ - สามารถรับผิดชอบการพัฒนาระบบตั้งแต่เริ่มต้นจนส่งมอบงานได้ (รับ Requirement > พัฒนาระบบ > ทดสอบระบบ > แก้ไขปัญาที่พบเจอ (ถ้ามี) > ส่งมอบงาน) - สามารถปรับปรุงแก้ไขระบบได้ตาม Requirement ที่เปลี่ยนแปลงไป - สามารถบริหารจัดการเวลาและทำงานให้แล้วเสร็จภายในกำหนด - สามารถเรียนรู้และพัฒนาตนเองให้ทันกับเทคโนโลยีที่มีการเปลี่ยนแปลงอยู่ตลอดเวลาได้ Qualifications - มีความรู้ในการพัฒนา Web Application ด้วย Node.js (TypeScript) - มีประสบการณ์ในการใช้งาน Framework และ Library เช่น React, NEXT.JS, Zustand, NestJS, Prisma, Swagger - มีประสบการณ์ในการใช้งาน Build tools และ Package Manager เช่น webpack, SWC, npm, yarn - มีความรู้ในการพัฒนาระบบด้วยแนวคิด Microservices - มีประสบการณ์ในการออกแบบและพัฒนาระบบด้วย REST API, WebSocket - มีประสบการณ์ในการออกแบบและใช้งานฐานข้อมูลทั้ง RDBMS, NoSQL (MySQL, Redis) - มีประสบการณ์ในการออกแบบและใช้งาน Cache - มีความรู้ในการจัดการ Error, Log สามารถ Debug เพื่อหาสาเหตุและแก้ไขปัญหาได้ - มีประสบการณ์ในการใช้งาน Git และสามารถทำงานร่วมกันเป็นทีมได้ - มีความเข้าใจพื้นฐานเกี่ยวกับ Docker, Container, Cloud-Native Application - มีความเข้าใจพื้นฐานในด้าน Security (OWASP e.g. Injection, Broken Authentication, XSS, CSRF, etc.)",https://th.jobsdb.com/th/job/90533393?type=standard&ref=search-standalone#sol=8501a28dcb77c5ebee45e4dfd2b0d4729f43461f,1,8
Data Analyst (Merchandise),Moshi Moshi Retail Corporation Public Company Limited,ธนบุรี กรุงเทพมหานคร,,งานเต็มเวลา,,จัดทำและรวบรวมข้อมูล พร้อมสรุปรายงาน (Data Summarization) รวมถึงจัดทำแผนผลการดำเนินงานประจำวัน/สัปดาห์/เดือน ตามที่ได้รับมอบหมาย เพื่อสนับสนุนการตัดสินใจทางธุรกิจ วิเคราะห์แนวโน้มข้อมูล (Trend Analysis) และจัดทำรายงานสรุปผลในรูปแบบกราฟหรือ Dashboard เพื่อสะท้อนผลการดำเนินงานและโอกาสในการพัฒนา ตรวจสอบความถูกต้องและความครบถ้วนของข้อมูลในระบบ (Data Validation) เพื่อให้มั่นใจว่าข้อมูลมีความน่าเชื่อถือและพร้อมใช้งาน ดูแลและปรับปรุงข้อมูลสินค้าในระบบ Merchandising ให้มีความถูกต้อง เป็นปัจจุบัน และสอดคล้องกับแนวทางการบริหารสินค้า ประสานงานกับทีมงาน Merchandising และหน่วยงานที่เกี่ยวข้อง เพื่อสนับสนุนการบริหารสินค้า การวางแผน และการนำเสนอข้อมูลเชิงวิเคราะห์ ปฏิบัติงานอื่น ๆ ตามที่ได้รับมอบหมาย เพื่อสนับสนุนเป้าหมายทางธุรกิจขององค์กร,https://th.jobsdb.com/th/job/90560644?type=standard&ref=search-standalone#sol=606ae9698d12c0d24eeae519ed9154e7373af0b8,1,9
HTML/CSS/JS web developer,"Plaimanas Industries CO., LTD.",กรุงเทพมหานคร (ไฮบริด),"฿35,000 – ฿50,000 per month",งานเต็มเวลา,,"เรากำลังมองหา HTML / CSS Web Developer ที่ใส่ใจในรายละเอียดของงานหน้าบ้าน และสนุกกับการพัฒนาเว็บไซต์ให้ตรงตามดีไซน์และมาตรฐานการแสดงผลบนทุกอุปกรณ์ คุณจะได้ทำงานร่วมกับทีมดีไซน์และทีมพัฒนา เพื่อสร้างเว็บไซต์ที่สวยงาม ใช้งานได้จริง และมีคุณภาพ About You คุณเป็นนักพัฒนาเว็บไซต์ที่มีพื้นฐานด้าน Frontend แข็งแรง เข้าใจโครงสร้างของเว็บไซต์และการแสดงผลแบบ Responsive คุณทำงานเป็นระบบ มีความรับผิดชอบ และพร้อมเรียนรู้สิ่งใหม่ๆ ร่วมกับทีม Key Responsibilities • พัฒนาและปรับปรุงเว็บไซต์โดยใช้ HTML5, CSS3 และ JavaScript • ปรับเว็บไซต์ให้รองรับการแสดงผลแบบ Fully Responsive • ประยุกต์ใช้งาน jQuery และ jQuery Plugin ให้ตรงตามดีไซน์ • ทำงานร่วมกับทีมดีไซน์และทีมพัฒนา เพื่อให้ผลงานออกมาตรงตามเป้าหมาย • วิเคราะห์และแก้ไขปัญหาที่เกิดขึ้นในงานพัฒนาเว็บไซต์ • ให้คำแนะนำเชิงเทคนิคแก่ทีมที่เกี่ยวข้องเมื่อจำเป็น Qualifications • มีประสบการณ์ในการพัฒนาเว็บไซต์แบบ Fully Responsive • มีความเข้าใจ HTML5, CSS3 และ JavaScript (jQuery) เป็นอย่างดี • มีความรู้พื้นฐานด้าน PHP • หากเข้าใจโครงสร้าง CMS เช่น WordPress จะได้รับการพิจารณาเป็นพิเศษ • หากมีประสบการณ์ใช้งาน JavaScript Framework จะได้รับการพิจารณาเป็นพิเศษ • มีความรับผิดชอบต่องานที่ได้รับมอบหมาย และสามารถทำงานเป็นทีมได้ดี • มีทักษะในการวิเคราะห์และแก้ปัญหา พร้อมเสนอแนวทางใหม่ๆ ในการทำงาน Our Offer • รูปแบบการทำงานแบบ Hybrid ทำงานที่ออฟฟิศ 2 สัปดาห์ และทำงานที่บ้าน 2 สัปดาห์ ต่อเดือน • โบนัสตามผลงานและ Performance • ทำงานผ่าน Online Platform และระบบจัดการงานที่เป็นมาตรฐาน • อุปกรณ์ทำงานเป็นคอมพิวเตอร์ระบบปฏิบัติการ macOS • กิจกรรมสังสรรค์บริษัท เดือนละ 1 ครั้ง • ประกันสังคม • วันลาพักร้อนเริ่มต้น 9 วัน และเพิ่มตามอายุงาน สูงสุดไม่เกิน 15 วันต่อปี Conditions • ระยะทดลองงาน 4 เดือน • ออฟฟิศตั้งอยู่ใกล้ BTS ชิดลม สามารถเดินเข้าอาคารผ่าน Skywalk ได้โดยตรง",https://th.jobsdb.com/th/job/90091838?type=standard&ref=search-standalone#sol=a035f6015b0df9811e97870ce3335871e9b3e033,1,10
